,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
26,3443d1_1298,34001.067188684014,1658.5157019673418,448.6436218486916,69389.95264994696
27,3443d2_1300,35000.67398119122,1278.4845774189978,446.1551286860001,66440.23809412053
28,3443d2_1308,35988.13969571231,822.491580766732,450.81855814861206,63388.182788040926
29,3443d3_1312,35964.51750640478,1522.8346304661677,437.8988700200453,64643.3766318728
30,3443d3_1319,36743.6919504644,1971.556725133968,442.05021850692896,63621.50396634017
31,3443d4_1322,35703.217054263565,898.7841822725381,435.67931876224304,64174.032524581766
32,3443d4_1334,32999.29319371728,1008.2884720592796,465.1450822707261,70578.05259037284
33,3443d5_1336,35928.628495339544,880.3681071340591,443.3174269863602,63624.23912076076
34,3443d5_1344,32998.27405857741,938.2845019201236,437.043299308723,70460.35886788605
35,3443d5_1346,32999.57524271845,1046.4817293292429,449.486671499761,70642.8946255568
36,344445_1395,34000.14769065521,1349.897531276754,456.8579495308516,68862.87509346846
37,344445_1398,36955.50447316103,1477.6372416582185,451.8848605672069,62287.622452617856
38,344445_1401,36343.52654387866,1434.7471651213484,443.46219071477503,63620.99987992257
39,34444b_1441,36947.62142381903,1181.2141354587134,438.1150457608664,61797.464952672
40,34444b_1444,35964.95766698025,1124.0003409280337,429.6338304718142,63958.47854142664
41,344481_1473,36711.034404708014,1509.020969477152,435.5037477890623,62903.46694966061
42,344481_1479,35000.206422018346,980.2599224667648,434.9280740409021,65929.9434339503
43,3444ca_1544,37002.15332926085,1406.586070187776,444.0847881617274,62058.545590196765
44,3444ca_1548,35958.368076235856,1294.9719035773403,440.65248391408966,64266.79493057578
45,3444cc_1566,33000.748697916664,1172.6287195735315,453.79793304786375,70856.50271288917
46,3444cc_1569,35780.24499654934,1141.7814683214206,437.404051836862,64413.61776132327
47,3444d0_1582,35001.72594142259,1774.038298336858,448.15981476476657,67287.55186252228
48,344548_1647,37001.60225048924,1520.5100422773403,440.0718466982454,62255.159373981034
49,344548_1653,32960.44805709754,924.6112391846476,427.1773229093654,70523.8741606271
50,344548_1657,33361.07594936709,996.6260201523058,438.8396280310319,69726.32555077922
51,34454b_1660,35002.040194884285,1244.6999764890345,457.95400626588633,66379.16632370536
52,34454b_1666,35946.17067833698,1075.7390675176832,453.95269972198304,63918.9151344915
53,3445d4_1682,36716.31240731587,1452.026540539531,445.1688448025649,62793.60389274408
54,344646_1694,36985.3743315508,985.030647783372,439.2015341472167,61374.27369120857
55,344693_1735,35997.630208333336,861.1529284025797,447.0334244848905,63432.65744171475
56,344693_1738,36971.77419354839,819.8227672480375,446.8663848357031,61122.25602941487
57,344693_1746,33284.34433124591,850.7728655701909,450.801471082596,69652.63333641923
58,344694_1748,35949.81831395349,871.8123070711542,449.1300517734962,63560.8535326578
59,344694_1759,32999.68168462292,953.6055885959512,436.7053541374002,70483.3940316919
60,344695_1770,35461.4837398374,955.9700577744372,441.14835105379296,64827.828561385744
61,344695_1775,36379.53784326859,1890.589916908713,442.8699446246199,64319.850125004
62,344696_1787,35982.60126891166,1351.26371171906,448.071175141902,64307.607712874844
63,344696_1789,36028.475,980.0784093983186,447.4296230598,63565.669073928264
64,344696_1793,36964.630467571646,879.2448074306924,443.4366167614198,61240.57099209282
65,344698_1809,36978.01556420233,1090.6796974115389,451.58635092094175,61572.3490630016
66,344698_1810,35999.98928877464,1056.4421620751582,451.9356344196392,63762.09888142257
67,344698_1811,36173.04609218437,1775.651414318071,445.9231927715242,64597.48287456001
68,3451d3_1969,36995.81099195711,833.659747770201,453.0778383861816,61090.72249021291
69,3451d4_1980,35937.54980079681,1631.74183991548,445.3148583499325,64892.119257981976
70,3451d5_1985,33439.49607329843,868.5134137298554,465.2906500218099,69326.36339737511
71,3451d5_1987,36584.45273631841,904.3552484610397,450.5655953829213,62157.64704542297
72,3452c9_2136,35977.23463687151,1081.2199514074557,439.5302129082491,63856.89803019777
73,3452c9_2139,37000.02896871379,1231.949841066309,444.87632468388296,61763.978502129816
74,345313_2152,36986.186594202896,936.8226449798344,435.9372169135895,61289.74345144359
75,345313_2153,37995.68396226415,1076.734345017535,436.29500980420687,59208.84321664178
76,345313_2155,35994.38725490196,982.0291310687384,455.4671109082457,63647.380853588445
77,345313_2165,37000.48710601719,1278.695708192607,430.0979767785046,61843.08098250824
78,345398_2244,35590.750528541226,1069.6057801380623,449.32231709636136,64725.50012825361
79,345398_2245,34976.7302259887,912.2373665866812,428.48167374935866,65867.27547506643
80,345614_2362,35977.437363834426,1347.8923085395645,443.05620090485417,64313.69841091661
81,345614_2363,35883.062930186825,1032.51979760187,442.5038417019538,63989.88960500409
82,345614_2364,37004.878752886834,1363.9084093097667,441.145636651354,61979.09998922351
83,345642_2402,33000.9900990099,1520.49684479307,456.3491186038587,71452.4415875424
84,345686_2436,35725.26351970669,1509.0695060816631,430.4964841290064,65169.8121858659
85,34568a_2475,36999.77203647416,916.1709617542992,438.1330585319139,61223.09916674039
86,34568a_2481,34002.51919385797,937.39462382047,448.17802456451153,68150.09914474217
